country,region,sector,year,emissions
ABW,North America,nan,1926,0.0
ABW,North America,nan,1927,0.0
ABW,North America,nan,1928,0.0
ABW,North America,nan,1929,0.0
ABW,North America,nan,1930,0.0
ABW,North America,nan,1931,0.0
ABW,North America,nan,1932,0.0
ABW,North America,nan,1933,0.0
ABW,North America,nan,1934,0.0
ABW,North America,nan,1935,0.0
ABW,North America,nan,1936,0.0
ABW,North America,nan,1937,0.0
ABW,North America,nan,1938,0.0
ABW,North America,nan,1939,0.0
ABW,North America,nan,1940,0.0
ABW,North America,nan,1941,0.0
ABW,North America,nan,1942,0.0
ABW,North America,nan,1943,0.0
ABW,North America,nan,1944,0.0
ABW,North America,nan,1945,0.0
ABW,North America,nan,1946,0.0
ABW,North America,nan,1947,0.0
ABW,North America,nan,1948,0.0
ABW,North America,nan,1949,0.0
ABW,North America,nan,1950,0.41
ABW,North America,nan,1951,0.646
ABW,North America,nan,1952,0.373
ABW,North America,nan,1953,0.432
ABW,North America,nan,1954,0.873
ABW,North America,nan,1955,0.722
ABW,North America,nan,1956,0.934
ABW,North America,nan,1957,0.638
ABW,North America,nan,1958,0.559
ABW,North America,nan,1959,0.719
ABW,North America,nan,1960,0.619
ABW,North America,nan,1961,0.646
ABW,North America,nan,1962,0.709
ABW,North America,nan,1963,0.679
ABW,North America,nan,1964,0.66
ABW,North America,nan,1965,0.592
ABW,North America,nan,1966,0.554
ABW,North America,nan,1967,0.682
ABW,North America,nan,1968,0.635
ABW,North America,nan,1969,0.83
ABW,North America,nan,1970,0.929
ABW,North America,nan,1971,0.808
ABW,North America,nan,1972,0.784
ABW,North America,nan,1973,0.869
ABW,North America,nan,1974,0.788
ABW,North America,nan,1975,0.571
ABW,North America,nan,1976,1.219
ABW,North America,nan,1977,0.637
ABW,North America,nan,1978,0.542
ABW,North America,nan,1979,0.569
ABW,North America,nan,1980,0.585
ABW,North America,nan,1981,0.558
ABW,North America,nan,1982,0.623
ABW,North America,nan,1983,0.32
ABW,North America,nan,1984,0.8
ABW,North America,nan,1985,0.937
ABW,North America,nan,1986,0.18
ABW,North America,nan,1987,0.447
ABW,North America,nan,1988,0.612
ABW,North America,nan,1989,0.649
ABW,North America,nan,1990,0.487
ABW,North America,nan,1991,0.531
ABW,North America,nan,1992,0.539
ABW,North America,nan,1993,0.649
ABW,North America,nan,1994,0.66
ABW,North America,nan,1995,0.707
ABW,North America,nan,1996,0.725
ABW,North America,nan,1997,0.758
ABW,North America,nan,1998,0.806
ABW,North America,nan,1999,0.81
ABW,North America,nan,2000,2.378
ABW,North America,nan,2001,2.407
ABW,North America,nan,2002,2.437
ABW,North America,nan,2003,2.561
ABW,North America,nan,2004,2.616
ABW,North America,nan,2005,2.719
ABW,North America,nan,2006,2.715
ABW,North America,nan,2007,2.821
ABW,North America,nan,2008,2.656
ABW,North America,nan,2009,2.627
ABW,North America,nan,2010,2.506
